,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
41,2016-06-22,28.724990844726562,22.353246688842773,5.019999980926514,710.5999755859375,27.1522216796875,38.35110855102539,41.91999816894531,135.75442504882812,69.63720703125,39.332000732421875,2085.449951171875
42,2016-06-23,29.147838592529297,22.481914520263672,5.210000038146973,722.0800170898438,27.513900756835938,38.539188385009766,43.040000915527344,138.33087158203125,70.5794906616211,39.279998779296875,2113.320068359375
43,2016-06-24,25.995685577392578,21.850271224975586,4.880000114440918,698.9600219726562,26.30537223815918,37.55604934692383,41.279998779296875,131.3377227783203,64.11161041259766,38.630001068115234,2037.4100341796875
44,2016-06-27,24.28506088256836,21.5321102142334,4.71999979019165,691.3599853515625,25.86430549621582,37.42781448364258,40.31999969482422,126.21472930908203,60.33333969116211,39.709999084472656,2000.5400390625
45,2016-06-28,25.72659683227539,21.89472198486328,5.119999885559082,707.9500122070312,26.411231994628906,37.769779205322266,42.720001220703125,132.13055419921875,60.04058837890625,40.358001708984375,2036.0899658203125
46,2016-06-29,26.62034797668457,22.084213256835938,5.130000114440918,715.5999755859375,26.94933319091797,37.99204635620117,44.0,138.39501953125,62.053226470947266,42.03799819946289,2070.77001953125
47,2016-06-30,27.206567764282227,22.364946365356445,5.139999866485596,715.6199951171875,27.76972198486328,38.75291442871094,43.84000015258789,140.09803771972656,61.43115234375,42.45600128173828,2098.860107421875
48,2016-07-01,28.186813354492188,22.432790756225586,5.070000171661377,725.6799926757812,27.778545379638672,38.57339096069336,44.63999938964844,139.2415313720703,63.22422409057617,43.29999923706055,2102.949951171875
49,2016-07-05,27.802406311035156,22.222238540649414,4.960000038146973,728.0999755859375,27.743255615234375,38.83840560913086,44.47999954223633,139.2515106201172,61.57750701904297,42.79600143432617,2088.550048828125
50,2016-07-06,27.245014190673828,22.348569869995117,5.039999961853027,737.6099853515625,27.99907684326172,38.70161819458008,43.84000015258789,139.112060546875,60.745018005371094,42.88800048828125,2099.72998046875
51,2016-07-07,28.254085540771484,22.444482803344727,5.019999980926514,736.5700073242188,28.06964683532715,38.54773712158203,43.20000076293945,142.33889770507812,61.101810455322266,43.1879997253418,2097.89990234375
52,2016-07-08,28.8691463470459,22.617603302001953,5.099999904632568,745.8099975585938,28.404861450195312,38.79566192626953,43.040000915527344,145.62547302246094,62.5563850402832,43.35599899291992,2129.89990234375
53,2016-07-11,29.945486068725586,22.687780380249023,5.010000228881836,753.780029296875,28.41368293762207,38.95809555053711,43.040000915527344,148.4439697265625,63.63589096069336,44.95600128173828,2137.159912109375
54,2016-07-12,33.30906295776367,22.790721893310547,5.139999866485596,748.2100219726562,28.457792282104492,38.96664810180664,44.0,150.4856414794922,66.7737808227539,44.93000030517578,2152.139892578125
55,2016-07-13,33.10725784301758,22.662050247192383,5.090000152587891,742.6300048828125,28.546005249023438,39.10342788696289,45.119998931884766,148.66305541992188,66.39869689941406,44.50600051879883,2152.429931640625
56,2016-07-14,34.48151397705078,23.111225128173828,5.170000076293945,741.2000122070312,28.784183502197266,39.06067657470703,47.84000015258789,148.61328125,65.75831604003906,44.305999755859375,2163.75
57,2016-07-15,34.49112319946289,23.108884811401367,5.139999866485596,735.4400024414062,29.004716873168945,39.00938415527344,49.599998474121094,147.8663330078125,64.39521789550781,44.08000183105469,2161.739990234375
